States of Origin,States of Displacement,IDPs
Khartoum,WhiteNile,188635.0
Khartoum,Northern,106600.0
Khartoum,RiverNile,96095.0
Khartoum,AjJazirah,48930.0
Khartoum,Khartoum,22975.0
Khartoum,Sennar,20235.0
Khartoum,RedSea,8895.0
Khartoum,NorthKordofan,8515.0
Khartoum,BlueNile,715.0
Khartoum,Kassala,305.0
Khartoum,Gedaref,300.0
WestDarfur,WestDarfur,156565.0
WestDarfur,NorthDarfur,3800.0
SouthDarfur,SouthDarfur,45000.0
NorthDarfur,NorthDarfur,18275.0
NorthKordofan,NorthKordofan,8253.0
CentralDarfur,CentralDarfur,1780.0
AjJazirah,AjJazirah,350.0
