States of Displacement,States of Origin,IDPs
AjJazirah,Aj Jazirah,425.0
CentralDarfur,Central Darfur,175380.0
NorthDarfur,Central Darfur,5945.0
SouthDarfur,Central Darfur,7365.0
WestDarfur,Central Darfur,2200.0
AjJazirah,Khartoum,404236.0
BlueNile,Khartoum,54005.0
EastDarfur,Khartoum,358480.0
Gedaref,Khartoum,270496.0
Kassala,Khartoum,110170.0
Khartoum,Khartoum,64030.0
NorthDarfur,Khartoum,8480.0
NorthKordofan,Khartoum,88431.0
Northern,Khartoum,362516.0
RedSea,Khartoum,124470.0
RiverNile,Khartoum,577568.0
Sennar,Khartoum,325836.0
SouthDarfur,Khartoum,12675.0
SouthKordofan,Khartoum,64677.0
WestDarfur,Khartoum,784.0
WestKordofan,Khartoum,49587.0
WhiteNile,Khartoum,416328.0
CentralDarfur,North Darfur,67785.0
EastDarfur,North Darfur,7815.0
NorthDarfur,North Darfur,287261.0
SouthDarfur,North Darfur,9705.0
WestDarfur,North Darfur,286.0
WestKordofan,North Darfur,740.0
EastDarfur,North Kordofan,3910.0
NorthDarfur,North Kordofan,105.0
NorthKordofan,North Kordofan,11325.0
SouthKordofan,North Kordofan,2288.0
WestKordofan,North Kordofan,6154.0
CentralDarfur,South Darfur,2150.0
EastDarfur,South Darfur,166475.0
NorthDarfur,South Darfur,26712.0
SouthDarfur,South Darfur,565443.0
WestDarfur,South Darfur,325.0
WestKordofan,South Darfur,70.0
NorthKordofan,South Kordofan,930.0
SouthKordofan,South Kordofan,30371.0
WestKordofan,South Kordofan,1860.0
CentralDarfur,West Darfur,54750.0
NorthDarfur,West Darfur,12335.0
SouthDarfur,West Darfur,4350.0
WestDarfur,West Darfur,109055.0
WestKordofan,West Darfur,10.0
