,date_analysis,country,total_population,region,validity_period,date_from,date_to,phase,affected_number,percentage,month
1,2024-04-01,SDN,47208125,South Kordofan,current,2024-04-01,2024-05-31,all,2098395,1.0,2024-04
2,2024-04-01,SDN,47208125,South Kordofan,current,2024-04-01,2024-05-31,3+,1018272,0.48,2024-04
3,2024-04-01,SDN,47208125,South Kordofan,current,2024-04-01,2024-05-31,1,349328,0.17,2024-04
4,2024-04-01,SDN,47208125,South Kordofan,current,2024-04-01,2024-05-31,2,730795,0.35,2024-04
5,2024-04-01,SDN,47208125,South Kordofan,current,2024-04-01,2024-05-31,3,699840,0.33,2024-04
6,2024-04-01,SDN,47208125,South Kordofan,current,2024-04-01,2024-05-31,4,301927,0.14,2024-04
7,2024-04-01,SDN,47208125,South Kordofan,current,2024-04-01,2024-05-31,5,16505,0.01,2024-04
8,2024-04-01,SDN,47208125,South Kordofan,first projection,2024-06-01,2024-09-30,all,2098395,1.0,2024-04
9,2024-04-01,SDN,47208125,South Kordofan,first projection,2024-06-01,2024-09-30,3+,1218322,0.58,2024-04
10,2024-04-01,SDN,47208125,South Kordofan,first projection,2024-06-01,2024-09-30,1,255075,0.12,2024-04
11,2024-04-01,SDN,47208125,South Kordofan,first projection,2024-06-01,2024-09-30,2,624998,0.3,2024-04
12,2024-04-01,SDN,47208125,South Kordofan,first projection,2024-06-01,2024-09-30,3,791722,0.38,2024-04
13,2024-04-01,SDN,47208125,South Kordofan,first projection,2024-06-01,2024-09-30,4,403641,0.19,2024-04
14,2024-04-01,SDN,47208125,South Kordofan,first projection,2024-06-01,2024-09-30,5,22959,0.01,2024-04
15,2024-04-01,SDN,47208125,South Kordofan,second projection,2024-10-01,2025-02-28,all,2098395,1.0,2024-04
16,2024-04-01,SDN,47208125,South Kordofan,second projection,2024-10-01,2025-02-28,3+,880966,0.42,2024-04
17,2024-04-01,SDN,47208125,South Kordofan,second projection,2024-10-01,2025-02-28,1,367400,0.18,2024-04
18,2024-04-01,SDN,47208125,South Kordofan,second projection,2024-10-01,2025-02-28,2,850029,0.41,2024-04
19,2024-04-01,SDN,47208125,South Kordofan,second projection,2024-10-01,2025-02-28,3,619761,0.3,2024-04
20,2024-04-01,SDN,47208125,South Kordofan,second projection,2024-10-01,2025-02-28,4,261206,0.12,2024-04
21,2024-04-01,SDN,47208125,South Kordofan,second projection,2024-10-01,2025-02-28,5,0,0.0,2024-04
22,2024-04-01,SDN,47208125,East Darfur,current,2024-04-01,2024-05-31,all,1772902,1.0,2024-04
23,2024-04-01,SDN,47208125,East Darfur,current,2024-04-01,2024-05-31,3+,686566,0.39,2024-04
24,2024-04-01,SDN,47208125,East Darfur,current,2024-04-01,2024-05-31,1,377706,0.21,2024-04
25,2024-04-01,SDN,47208125,East Darfur,current,2024-04-01,2024-05-31,2,708630,0.4,2024-04
26,2024-04-01,SDN,47208125,East Darfur,current,2024-04-01,2024-05-31,3,570018,0.32,2024-04
27,2024-04-01,SDN,47208125,East Darfur,current,2024-04-01,2024-05-31,4,116327,0.07,2024-04
28,2024-04-01,SDN,47208125,East Darfur,current,2024-04-01,2024-05-31,5,221,0.0,2024-04
29,2024-04-01,SDN,47208125,East Darfur,first projection,2024-06-01,2024-09-30,all,1772902,1.0,2024-04
30,2024-04-01,SDN,47208125,East Darfur,first projection,2024-06-01,2024-09-30,3+,855735,0.48,2024-04
31,2024-04-01,SDN,47208125,East Darfur,first projection,2024-06-01,2024-09-30,1,280940,0.16,2024-04
32,2024-04-01,SDN,47208125,East Darfur,first projection,2024-06-01,2024-09-30,2,636226,0.36,2024-04
33,2024-04-01,SDN,47208125,East Darfur,first projection,2024-06-01,2024-09-30,3,640529,0.36,2024-04
34,2024-04-01,SDN,47208125,East Darfur,first projection,2024-06-01,2024-09-30,4,212546,0.12,2024-04
35,2024-04-01,SDN,47208125,East Darfur,first projection,2024-06-01,2024-09-30,5,2661,0.0,2024-04
36,2024-04-01,SDN,47208125,East Darfur,second projection,2024-10-01,2025-02-28,all,1772902,1.0,2024-04
37,2024-04-01,SDN,47208125,East Darfur,second projection,2024-10-01,2025-02-28,3+,715421,0.4,2024-04
38,2024-04-01,SDN,47208125,East Darfur,second projection,2024-10-01,2025-02-28,1,382698,0.22,2024-04
39,2024-04-01,SDN,47208125,East Darfur,second projection,2024-10-01,2025-02-28,2,674783,0.38,2024-04
40,2024-04-01,SDN,47208125,East Darfur,second projection,2024-10-01,2025-02-28,3,591299,0.33,2024-04
41,2024-04-01,SDN,47208125,East Darfur,second projection,2024-10-01,2025-02-28,4,123901,0.07,2024-04
42,2024-04-01,SDN,47208125,East Darfur,second projection,2024-10-01,2025-02-28,5,221,0.0,2024-04
43,2024-04-01,SDN,47208125,Blue Nile,current,2024-04-01,2024-05-31,all,1470448,1.0,2024-04
