States of Origin,States of Displacement,IDPs,month
Khartoum,WhiteNile,188635.0,2023-05
Khartoum,Northern,106600.0,2023-05
Khartoum,RiverNile,96095.0,2023-05
Khartoum,AjJazirah,48930.0,2023-05
Khartoum,Khartoum,22975.0,2023-05
Khartoum,Sennar,20235.0,2023-05
Khartoum,RedSea,8895.0,2023-05
Khartoum,NorthKordofan,8515.0,2023-05
Khartoum,BlueNile,715.0,2023-05
Khartoum,Kassala,305.0,2023-05
Khartoum,Gedaref,300.0,2023-05
WestDarfur,WestDarfur,156565.0,2023-05
WestDarfur,NorthDarfur,3800.0,2023-05
SouthDarfur,SouthDarfur,45000.0,2023-05
NorthDarfur,NorthDarfur,18275.0,2023-05
NorthKordofan,NorthKordofan,8253.0,2023-05
CentralDarfur,CentralDarfur,1780.0,2023-05
AjJazirah,AjJazirah,350.0,2023-05
Aj Jazirah,AjJazirah,425.0,2023-07
Central Darfur,CentralDarfur,175380.0,2023-07
Central Darfur,NorthDarfur,5945.0,2023-07
Central Darfur,SouthDarfur,7365.0,2023-07
Central Darfur,WestDarfur,2200.0,2023-07
Khartoum,AjJazirah,404236.0,2023-07
Khartoum,BlueNile,54005.0,2023-07
Khartoum,EastDarfur,358480.0,2023-07
Khartoum,Gedaref,270496.0,2023-07
Khartoum,Kassala,110170.0,2023-07
Khartoum,Khartoum,64030.0,2023-07
Khartoum,NorthDarfur,8480.0,2023-07
Khartoum,NorthKordofan,88431.0,2023-07
Khartoum,Northern,362516.0,2023-07
Khartoum,RedSea,124470.0,2023-07
Khartoum,RiverNile,577568.0,2023-07
Khartoum,Sennar,325836.0,2023-07
Khartoum,SouthDarfur,12675.0,2023-07
Khartoum,SouthKordofan,64677.0,2023-07
Khartoum,WestDarfur,784.0,2023-07
Khartoum,WestKordofan,49587.0,2023-07
Khartoum,WhiteNile,416328.0,2023-07
North Darfur,CentralDarfur,67785.0,2023-07
North Darfur,EastDarfur,7815.0,2023-07
North Darfur,NorthDarfur,287261.0,2023-07
North Darfur,SouthDarfur,9705.0,2023-07
North Darfur,WestDarfur,286.0,2023-07
North Darfur,WestKordofan,740.0,2023-07
North Kordofan,EastDarfur,3910.0,2023-07
North Kordofan,NorthDarfur,105.0,2023-07
North Kordofan,NorthKordofan,11325.0,2023-07
