Date of analysis,Country,Total country population,Level 1,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Apr 2024,SDN,47208125,South Kordofan,current,2024-04-01,2024-05-31,all,2098395,1.0
Apr 2024,SDN,47208125,South Kordofan,current,2024-04-01,2024-05-31,3+,1018272,0.48
Apr 2024,SDN,47208125,South Kordofan,current,2024-04-01,2024-05-31,1,349328,0.17
Apr 2024,SDN,47208125,South Kordofan,current,2024-04-01,2024-05-31,2,730795,0.35
Apr 2024,SDN,47208125,South Kordofan,current,2024-04-01,2024-05-31,3,699840,0.33
Apr 2024,SDN,47208125,South Kordofan,current,2024-04-01,2024-05-31,4,301927,0.14
Apr 2024,SDN,47208125,South Kordofan,current,2024-04-01,2024-05-31,5,16505,0.01
Apr 2024,SDN,47208125,South Kordofan,first projection,2024-06-01,2024-09-30,all,2098395,1.0
Apr 2024,SDN,47208125,South Kordofan,first projection,2024-06-01,2024-09-30,3+,1218322,0.58
Apr 2024,SDN,47208125,South Kordofan,first projection,2024-06-01,2024-09-30,1,255075,0.12
Apr 2024,SDN,47208125,South Kordofan,first projection,2024-06-01,2024-09-30,2,624998,0.3
Apr 2024,SDN,47208125,South Kordofan,first projection,2024-06-01,2024-09-30,3,791722,0.38
Apr 2024,SDN,47208125,South Kordofan,first projection,2024-06-01,2024-09-30,4,403641,0.19
Apr 2024,SDN,47208125,South Kordofan,first projection,2024-06-01,2024-09-30,5,22959,0.01
Apr 2024,SDN,47208125,South Kordofan,second projection,2024-10-01,2025-02-28,all,2098395,1.0
Apr 2024,SDN,47208125,South Kordofan,second projection,2024-10-01,2025-02-28,3+,880966,0.42
Apr 2024,SDN,47208125,South Kordofan,second projection,2024-10-01,2025-02-28,1,367400,0.18
Apr 2024,SDN,47208125,South Kordofan,second projection,2024-10-01,2025-02-28,2,850029,0.41
Apr 2024,SDN,47208125,South Kordofan,second projection,2024-10-01,2025-02-28,3,619761,0.3
Apr 2024,SDN,47208125,South Kordofan,second projection,2024-10-01,2025-02-28,4,261206,0.12
Apr 2024,SDN,47208125,South Kordofan,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,East Darfur,current,2024-04-01,2024-05-31,all,1772902,1.0
Apr 2024,SDN,47208125,East Darfur,current,2024-04-01,2024-05-31,3+,686566,0.39
Apr 2024,SDN,47208125,East Darfur,current,2024-04-01,2024-05-31,1,377706,0.21
Apr 2024,SDN,47208125,East Darfur,current,2024-04-01,2024-05-31,2,708630,0.4
Apr 2024,SDN,47208125,East Darfur,current,2024-04-01,2024-05-31,3,570018,0.32
Apr 2024,SDN,47208125,East Darfur,current,2024-04-01,2024-05-31,4,116327,0.07
Apr 2024,SDN,47208125,East Darfur,current,2024-04-01,2024-05-31,5,221,0
Apr 2024,SDN,47208125,East Darfur,first projection,2024-06-01,2024-09-30,all,1772902,1.0
Apr 2024,SDN,47208125,East Darfur,first projection,2024-06-01,2024-09-30,3+,855735,0.48
Apr 2024,SDN,47208125,East Darfur,first projection,2024-06-01,2024-09-30,1,280940,0.16
Apr 2024,SDN,47208125,East Darfur,first projection,2024-06-01,2024-09-30,2,636226,0.36
Apr 2024,SDN,47208125,East Darfur,first projection,2024-06-01,2024-09-30,3,640529,0.36
Apr 2024,SDN,47208125,East Darfur,first projection,2024-06-01,2024-09-30,4,212546,0.12
Apr 2024,SDN,47208125,East Darfur,first projection,2024-06-01,2024-09-30,5,2661,0
Apr 2024,SDN,47208125,East Darfur,second projection,2024-10-01,2025-02-28,all,1772902,1.0
Apr 2024,SDN,47208125,East Darfur,second projection,2024-10-01,2025-02-28,3+,715421,0.4
Apr 2024,SDN,47208125,East Darfur,second projection,2024-10-01,2025-02-28,1,382698,0.22
Apr 2024,SDN,47208125,East Darfur,second projection,2024-10-01,2025-02-28,2,674783,0.38
Apr 2024,SDN,47208125,East Darfur,second projection,2024-10-01,2025-02-28,3,591299,0.33
Apr 2024,SDN,47208125,East Darfur,second projection,2024-10-01,2025-02-28,4,123901,0.07
Apr 2024,SDN,47208125,East Darfur,second projection,2024-10-01,2025-02-28,5,221,0
Apr 2024,SDN,47208125,Blue Nile,current,2024-04-01,2024-05-31,all,1470448,1.0
Apr 2024,SDN,47208125,Blue Nile,current,2024-04-01,2024-05-31,3+,734784,0.5
Apr 2024,SDN,47208125,Blue Nile,current,2024-04-01,2024-05-31,1,270781,0.18
Apr 2024,SDN,47208125,Blue Nile,current,2024-04-01,2024-05-31,2,464884,0.32
Apr 2024,SDN,47208125,Blue Nile,current,2024-04-01,2024-05-31,3,558449,0.38
Apr 2024,SDN,47208125,Blue Nile,current,2024-04-01,2024-05-31,4,176335,0.12
Apr 2024,SDN,47208125,Blue Nile,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,Blue Nile,first projection,2024-06-01,2024-09-30,all,1470448,1.0
Apr 2024,SDN,47208125,Blue Nile,first projection,2024-06-01,2024-09-30,3+,881829,0.6
Apr 2024,SDN,47208125,Blue Nile,first projection,2024-06-01,2024-09-30,1,184661,0.13
Apr 2024,SDN,47208125,Blue Nile,first projection,2024-06-01,2024-09-30,2,403959,0.27
Apr 2024,SDN,47208125,Blue Nile,first projection,2024-06-01,2024-09-30,3,624761,0.42
Apr 2024,SDN,47208125,Blue Nile,first projection,2024-06-01,2024-09-30,4,248099,0.17
Apr 2024,SDN,47208125,Blue Nile,first projection,2024-06-01,2024-09-30,5,8969,0.01
Apr 2024,SDN,47208125,Blue Nile,second projection,2024-10-01,2025-02-28,all,1470448,1.0
Apr 2024,SDN,47208125,Blue Nile,second projection,2024-10-01,2025-02-28,3+,670230,0.46
Apr 2024,SDN,47208125,Blue Nile,second projection,2024-10-01,2025-02-28,1,276288,0.19
Apr 2024,SDN,47208125,Blue Nile,second projection,2024-10-01,2025-02-28,2,523930,0.36
Apr 2024,SDN,47208125,Blue Nile,second projection,2024-10-01,2025-02-28,3,508235,0.35
Apr 2024,SDN,47208125,Blue Nile,second projection,2024-10-01,2025-02-28,4,161995,0.11
Apr 2024,SDN,47208125,Blue Nile,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,Central Darfur,current,2024-04-01,2024-05-31,all,1998753,1.0
Apr 2024,SDN,47208125,Central Darfur,current,2024-04-01,2024-05-31,3+,1167817,0.58
Apr 2024,SDN,47208125,Central Darfur,current,2024-04-01,2024-05-31,1,253069,0.13
Apr 2024,SDN,47208125,Central Darfur,current,2024-04-01,2024-05-31,2,577867,0.29
Apr 2024,SDN,47208125,Central Darfur,current,2024-04-01,2024-05-31,3,725513,0.36
Apr 2024,SDN,47208125,Central Darfur,current,2024-04-01,2024-05-31,4,442304,0.22
Apr 2024,SDN,47208125,Central Darfur,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,Central Darfur,first projection,2024-06-01,2024-09-30,all,1998753,1.0
Apr 2024,SDN,47208125,Central Darfur,first projection,2024-06-01,2024-09-30,3+,1349397,0.67
Apr 2024,SDN,47208125,Central Darfur,first projection,2024-06-01,2024-09-30,1,153131,0.08
Apr 2024,SDN,47208125,Central Darfur,first projection,2024-06-01,2024-09-30,2,496225,0.25
Apr 2024,SDN,47208125,Central Darfur,first projection,2024-06-01,2024-09-30,3,707218,0.35
Apr 2024,SDN,47208125,Central Darfur,first projection,2024-06-01,2024-09-30,4,542241,0.27
Apr 2024,SDN,47208125,Central Darfur,first projection,2024-06-01,2024-09-30,5,99938,0.05
Apr 2024,SDN,47208125,Central Darfur,second projection,2024-10-01,2025-02-28,all,1998753,1.0
Apr 2024,SDN,47208125,Central Darfur,second projection,2024-10-01,2025-02-28,3+,1121073,0.56
Apr 2024,SDN,47208125,Central Darfur,second projection,2024-10-01,2025-02-28,1,281518,0.14
Apr 2024,SDN,47208125,Central Darfur,second projection,2024-10-01,2025-02-28,2,596162,0.3
Apr 2024,SDN,47208125,Central Darfur,second projection,2024-10-01,2025-02-28,3,674578,0.34
Apr 2024,SDN,47208125,Central Darfur,second projection,2024-10-01,2025-02-28,4,446495,0.22
Apr 2024,SDN,47208125,Central Darfur,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,Gedaref,current,2024-04-01,2024-05-31,all,3146052,1.0
Apr 2024,SDN,47208125,Gedaref,current,2024-04-01,2024-05-31,3+,966142,0.31
Apr 2024,SDN,47208125,Gedaref,current,2024-04-01,2024-05-31,1,931690,0.3
Apr 2024,SDN,47208125,Gedaref,current,2024-04-01,2024-05-31,2,1248220,0.4
Apr 2024,SDN,47208125,Gedaref,current,2024-04-01,2024-05-31,3,872801,0.28
Apr 2024,SDN,47208125,Gedaref,current,2024-04-01,2024-05-31,4,93341,0.03
Apr 2024,SDN,47208125,Gedaref,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,Gedaref,first projection,2024-06-01,2024-09-30,all,3146052,1.0
Apr 2024,SDN,47208125,Gedaref,first projection,2024-06-01,2024-09-30,3+,1236316,0.39
Apr 2024,SDN,47208125,Gedaref,first projection,2024-06-01,2024-09-30,1,720225,0.23
Apr 2024,SDN,47208125,Gedaref,first projection,2024-06-01,2024-09-30,2,1189511,0.38
Apr 2024,SDN,47208125,Gedaref,first projection,2024-06-01,2024-09-30,3,1021366,0.32
Apr 2024,SDN,47208125,Gedaref,first projection,2024-06-01,2024-09-30,4,214950,0.07
Apr 2024,SDN,47208125,Gedaref,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,Gedaref,second projection,2024-10-01,2025-02-28,all,3146052,1.0
Apr 2024,SDN,47208125,Gedaref,second projection,2024-10-01,2025-02-28,3+,924901,0.29
Apr 2024,SDN,47208125,Gedaref,second projection,2024-10-01,2025-02-28,1,962981,0.31
Apr 2024,SDN,47208125,Gedaref,second projection,2024-10-01,2025-02-28,2,1258170,0.4
Apr 2024,SDN,47208125,Gedaref,second projection,2024-10-01,2025-02-28,3,864064,0.27
Apr 2024,SDN,47208125,Gedaref,second projection,2024-10-01,2025-02-28,4,60837,0.02
Apr 2024,SDN,47208125,Gedaref,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,Kassala,current,2024-04-01,2024-05-31,all,3035321,1.0
Apr 2024,SDN,47208125,Kassala,current,2024-04-01,2024-05-31,3+,1130199,0.38
Apr 2024,SDN,47208125,Kassala,current,2024-04-01,2024-05-31,1,551399,0.18
Apr 2024,SDN,47208125,Kassala,current,2024-04-01,2024-05-31,2,1353723,0.45
Apr 2024,SDN,47208125,Kassala,current,2024-04-01,2024-05-31,3,930996,0.31
Apr 2024,SDN,47208125,Kassala,current,2024-04-01,2024-05-31,4,199203,0.07
Apr 2024,SDN,47208125,Kassala,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,Kassala,first projection,2024-06-01,2024-09-30,all,3035321,1.0
Apr 2024,SDN,47208125,Kassala,first projection,2024-06-01,2024-09-30,3+,1461501,0.48
Apr 2024,SDN,47208125,Kassala,first projection,2024-06-01,2024-09-30,1,399633,0.13
Apr 2024,SDN,47208125,Kassala,first projection,2024-06-01,2024-09-30,2,1174187,0.39
Apr 2024,SDN,47208125,Kassala,first projection,2024-06-01,2024-09-30,3,1060834,0.35
Apr 2024,SDN,47208125,Kassala,first projection,2024-06-01,2024-09-30,4,400667,0.13
Apr 2024,SDN,47208125,Kassala,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,Kassala,second projection,2024-10-01,2025-02-28,all,3035321,1.0
Apr 2024,SDN,47208125,Kassala,second projection,2024-10-01,2025-02-28,3+,1227467,0.4
Apr 2024,SDN,47208125,Kassala,second projection,2024-10-01,2025-02-28,1,570729,0.19
Apr 2024,SDN,47208125,Kassala,second projection,2024-10-01,2025-02-28,2,1237125,0.41
Apr 2024,SDN,47208125,Kassala,second projection,2024-10-01,2025-02-28,3,972724,0.32
Apr 2024,SDN,47208125,Kassala,second projection,2024-10-01,2025-02-28,4,254743,0.08
Apr 2024,SDN,47208125,Kassala,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,North Kordofan,current,2024-04-01,2024-05-31,all,2300592,1.0
Apr 2024,SDN,47208125,North Kordofan,current,2024-04-01,2024-05-31,3+,981111,0.43
Apr 2024,SDN,47208125,North Kordofan,current,2024-04-01,2024-05-31,1,429232,0.19
Apr 2024,SDN,47208125,North Kordofan,current,2024-04-01,2024-05-31,2,890249,0.39
Apr 2024,SDN,47208125,North Kordofan,current,2024-04-01,2024-05-31,3,633602,0.28
Apr 2024,SDN,47208125,North Kordofan,current,2024-04-01,2024-05-31,4,346920,0.15
Apr 2024,SDN,47208125,North Kordofan,current,2024-04-01,2024-05-31,5,589,0
Apr 2024,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,all,2300592,1.0
Apr 2024,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,3+,1211170,0.53
Apr 2024,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,1,314203,0.14
Apr 2024,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,2,775220,0.34
Apr 2024,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,3,748632,0.33
Apr 2024,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,4,461949,0.2
Apr 2024,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,5,589,0
Apr 2024,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,all,2300592,1.0
Apr 2024,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,3+,981062,0.43
Apr 2024,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,1,430065,0.19
Apr 2024,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,2,889464,0.39
Apr 2024,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,3,633602,0.28
Apr 2024,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,4,347460,0.15
Apr 2024,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,all,1301489,1.0
Apr 2024,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,3+,765187,0.59
Apr 2024,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,1,183804,0.14
Apr 2024,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,2,352498,0.27
Apr 2024,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,3,455751,0.35
Apr 2024,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,4,302362,0.23
Apr 2024,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,5,7074,0.01
Apr 2024,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,all,1301489,1.0
Apr 2024,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,3+,849159,0.65
Apr 2024,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,1,131570,0.1
Apr 2024,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,2,320759,0.25
Apr 2024,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,3,459095,0.35
Apr 2024,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,4,338737,0.26
Apr 2024,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,5,51328,0.04
Apr 2024,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,all,1301489,1.0
Apr 2024,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,3+,713859,0.54
Apr 2024,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,1,193071,0.15
Apr 2024,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,2,394559,0.3
Apr 2024,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,3,435335,0.33
Apr 2024,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,4,278524,0.21
Apr 2024,SDN,47208125,West Darfur,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,all,1809643,1.0
Apr 2024,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,3+,538962,0.3
Apr 2024,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,1,554359,0.31
Apr 2024,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,2,716322,0.4
Apr 2024,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,3,447543,0.25
Apr 2024,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,4,91419,0.05
Apr 2024,SDN,47208125,Red Sea,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,all,1809643,1.0
Apr 2024,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,3+,668665,0.37
Apr 2024,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,1,465948,0.26
Apr 2024,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,2,675031,0.37
Apr 2024,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,3,532643,0.29
Apr 2024,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,4,136022,0.08
Apr 2024,SDN,47208125,Red Sea,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,all,1809643,1.0
Apr 2024,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,3+,455881,0.25
Apr 2024,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,1,613716,0.34
Apr 2024,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,2,740046,0.41
Apr 2024,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,3,402978,0.22
Apr 2024,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,4,52903,0.03
Apr 2024,SDN,47208125,Red Sea,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,all,2676891,1.0
Apr 2024,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,3+,1311693,0.49
Apr 2024,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,1,487197,0.18
Apr 2024,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,2,878001,0.33
Apr 2024,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,3,996330,0.37
Apr 2024,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,4,315364,0.12
Apr 2024,SDN,47208125,Sennar,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,all,2676891,1.0
Apr 2024,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,3+,1548028,0.58
Apr 2024,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,1,355861,0.13
Apr 2024,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,2,773002,0.29
Apr 2024,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,3,1121623,0.42
Apr 2024,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,4,426405,0.16
Apr 2024,SDN,47208125,Sennar,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,all,2676891,1.0
Apr 2024,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,3+,1238255,0.46
Apr 2024,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,1,584427,0.22
Apr 2024,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,2,854209,0.32
Apr 2024,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,3,965482,0.36
Apr 2024,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,4,272773,0.1
Apr 2024,SDN,47208125,Sennar,second projection,2024-10-01,2025-02-28,5,0,0
