Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Procedure Type,Procedure Name,Application Type Code,Application Type,Application Data Type,Application Data,Application Average Persons Per Case,Number of Applications
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+procedure_type,#indicator+procedure+name,#indicator+application_type+code,#indicator+application_type,#indicator+application_data_type,#indicator+application_data,#indicator+application_average_persons+num,#inneed+asylum_seekers+applications
2000,SDN,EGY,Sudan,Egypt,U,UNHCR,V,,P,Persons,0,12206
2000,SDN,AUS,Sudan,Australia,G,Government,V,,C,Cases,0,5
2000,SDN,AUS,Sudan,Australia,G,Government,V,,C,Cases,0,15
2000,SDN,AUT,Sudan,Austria,G,Government,V,,P,Persons,0,40
2000,SDN,BEL,Sudan,Belgium,G,Government,V,,P,Persons,0,185
2000,SDN,BEN,Sudan,Benin,G,Government,V,,P,Persons,0,16
2000,SDN,BWA,Sudan,Botswana,G,Government,V,,P,Persons,0,12
2000,SDN,BRA,Sudan,Brazil,G,Government,V,,P,Persons,0,11
2000,SDN,BGR,Sudan,Bulgaria,G,Government,V,,P,Persons,0,5
2000,SDN,CAN,Sudan,Canada,G,Government,V,,P,Persons,0,376
2000,SDN,CAF,Sudan,Central African Republic,G,Government,V,,P,Persons,0,23
2000,SDN,TCD,Sudan,Chad,U,UNHCR,V,,P,Persons,0,116
2000,SDN,COG,Sudan,Congo,U,UNHCR,V,,C,Cases,0,7
2000,SDN,COD,Sudan,Democratic Republic of the Congo,U,UNHCR,V,,C,Cases,0,18
2000,SDN,CYP,Sudan,Cyprus,U,UNHCR,V,,P,Persons,0,5
2000,SDN,CZE,Sudan,Czechia,G,Government,V,,C,Cases,0,5
2000,SDN,CZE,Sudan,Czechia,G,Government,V,,C,Cases,0,32
2000,SDN,DNK,Sudan,Denmark,G,Government,V,,P,Persons,0,24
2000,SDN,ERI,Sudan,Eritrea,U,UNHCR,V,,P,Persons,0,211
2000,SDN,FRA,Sudan,France,G,Government,V,,P,Persons,0,92
2000,SDN,GBR,Sudan,United Kingdom of Great Britain and Northern Ireland,G,Government,V,,C,Cases,0,415
2000,SDN,DEU,Sudan,Germany,G,Government,V,,P,Persons,0,156
2000,SDN,DEU,Sudan,Germany,G,Government,V,,P,Persons,0,53
2000,SDN,GHA,Sudan,Ghana,G,Government,V,,P,Persons,0,5
2000,SDN,GRC,Sudan,Greece,G,Government,V,,P,Persons,0,41
2000,SDN,HUN,Sudan,Hungary,G,Government,V,,P,Persons,0,78
2000,SDN,IND,Sudan,India,U,UNHCR,V,,P,Persons,0,68
2000,SDN,IRL,Sudan,Ireland,G,Government,V,,P,Persons,0,39
2000,SDN,IRQ,Sudan,Iraq,U,UNHCR,V,,P,Persons,0,5
2000,SDN,ITA,Sudan,Italy,G,Government,V,,P,Persons,0,40
2000,SDN,JOR,Sudan,Jordan,U,UNHCR,V,,P,Persons,0,218
2000,SDN,KEN,Sudan,Kenya,U,UNHCR,V,,P,Persons,0,788
2000,SDN,LBY,Sudan,Libya,U,UNHCR,V,,P,Persons,0,7
2000,SDN,LBN,Sudan,Lebanon,U,UNHCR,V,,P,Persons,0,1531
2000,SDN,MDA,Sudan,Republic of Moldova,U,UNHCR,V,,P,Persons,0,29
2000,SDN,MEX,Sudan,Mexico,U,UNHCR,V,,P,Persons,0,5
2000,SDN,MOZ,Sudan,Mozambique,G,Government,V,,P,Persons,0,5
2000,SDN,MLT,Sudan,Malta,G,Government,V,,C,Cases,0,5
2000,SDN,NLD,Sudan,Netherlands (Kingdom of the),G,Government,V,,P,Persons,0,1426
2000,SDN,NER,Sudan,Niger,U,UNHCR,V,,P,Persons,0,5
2000,SDN,NGA,Sudan,Nigeria,G,Government,V,,P,Persons,0,11
2000,SDN,NOR,Sudan,Norway,G,Government,V,,P,Persons,0,31
2000,SDN,POL,Sudan,Poland,G,Government,V,,P,Persons,0,6
2000,SDN,ROU,Sudan,Romania,G,Government,V,,P,Persons,0,71
2000,SDN,ZAF,Sudan,South Africa,G,Government,V,,P,Persons,0,29
2000,SDN,SAU,Sudan,Saudi Arabia,U,UNHCR,V,,P,Persons,0,48
2000,SDN,SOM,Sudan,Somalia,U,UNHCR,V,,P,Persons,0,5
2000,SDN,ESP,Sudan,Spain,G,Government,V,,P,Persons,0,22
2000,SDN,SVN,Sudan,Slovenia,G,Government,V,,P,Persons,0,17
2000,SDN,SWE,Sudan,Sweden,G,Government,V,,P,Persons,0,16
2000,SDN,CHE,Sudan,Switzerland,G,Government,V,,P,Persons,0,55
2000,SDN,SYR,Sudan,Syrian Arab Republic,U,UNHCR,V,,C,Cases,0,287
2000,SDN,TZA,Sudan,United Republic of Tanzania,G,Government,V,,P,Persons,0,6
2000,SDN,TUR,Sudan,Türkiye,U,UNHCR,V,,P,Persons,0,7
2000,SDN,ARE,Sudan,United Arab Emirates,U,UNHCR,V,,P,Persons,0,16
2000,SDN,UGA,Sudan,Uganda,G,Government,V,,P,Persons,0,674
2000,SDN,UKR,Sudan,Ukraine,G,Government,V,,P,Persons,0,23
2000,SDN,USA,Sudan,United States of America,G,Government,N,New,C,Cases,0,230
2000,SDN,USA,Sudan,United States of America,G,Government,N,New,C,Cases,0,560
2000,SDN,YEM,Sudan,Yemen,U,UNHCR,V,,P,Persons,0,695
2000,SDN,ZWE,Sudan,Zimbabwe,G,Government,V,,P,Persons,0,15
2001,SDN,AGO,Sudan,Angola,U,UNHCR,V,,P,Persons,0,5
2001,SDN,EGY,Sudan,Egypt,U,UNHCR,V,,P,Persons,0,9529
2001,SDN,AUS,Sudan,Australia,G,Government,V,,C,Cases,0,8
2001,SDN,AUS,Sudan,Australia,G,Government,V,,C,Cases,0,10
2001,SDN,AUT,Sudan,Austria,G,Government,V,,P,Persons,0,78
2001,SDN,AZE,Sudan,Azerbaijan,U,UNHCR,V,,P,Persons,0,5
2001,SDN,BEL,Sudan,Belgium,G,Government,V,,P,Persons,0,124
2001,SDN,BEN,Sudan,Benin,G,Government,V,,P,Persons,0,6
2001,SDN,BWA,Sudan,Botswana,G,Government,V,,P,Persons,0,20
2001,SDN,BRA,Sudan,Brazil,G,Government,V,,P,Persons,0,5
2001,SDN,BGR,Sudan,Bulgaria,G,Government,V,,P,Persons,0,68
2001,SDN,KHM,Sudan,Cambodia,U,UNHCR,V,,P,Persons,0,5
2001,SDN,CAN,Sudan,Canada,G,Government,V,,P,Persons,0,402
2001,SDN,CAF,Sudan,Central African Republic,G,Government,V,,P,Persons,0,294
2001,SDN,TCD,Sudan,Chad,G,Government,V,,P,Persons,0,206
2001,SDN,COG,Sudan,Congo,U,UNHCR,V,,C,Cases,0,18
2001,SDN,COD,Sudan,Democratic Republic of the Congo,U,UNHCR,V,,C,Cases,0,19
2001,SDN,CUB,Sudan,Cuba,U,UNHCR,V,,P,Persons,0,5
2001,SDN,CYP,Sudan,Cyprus,U,UNHCR,V,,P,Persons,0,5
2001,SDN,DNK,Sudan,Denmark,G,Government,V,,P,Persons,0,12
2001,SDN,FRA,Sudan,France,G,Government,V,,P,Persons,0,98
2001,SDN,GBR,Sudan,United Kingdom of Great Britain and Northern Ireland,G,Government,V,,C,Cases,0,390
2001,SDN,DEU,Sudan,Germany,G,Government,V,,P,Persons,0,199
2001,SDN,DEU,Sudan,Germany,G,Government,V,,P,Persons,0,31
2001,SDN,GHA,Sudan,Ghana,G,Government,V,,P,Persons,0,5
2001,SDN,GRC,Sudan,Greece,G,Government,V,,P,Persons,0,45
2001,SDN,HKG,Sudan,"China, Hong Kong Special Administrative Region",U,UNHCR,V,,P,Persons,0,8
2001,SDN,HUN,Sudan,Hungary,G,Government,V,,P,Persons,0,75
2001,SDN,IND,Sudan,India,U,UNHCR,V,,P,Persons,0,84
2001,SDN,IDN,Sudan,Indonesia,U,UNHCR,V,,P,Persons,0,5
2001,SDN,IRL,Sudan,Ireland,G,Government,V,,P,Persons,0,26
2001,SDN,IRQ,Sudan,Iraq,U,UNHCR,V,,P,Persons,0,5
2001,SDN,ITA,Sudan,Italy,G,Government,V,,P,Persons,0,97
2001,SDN,JOR,Sudan,Jordan,U,UNHCR,V,,P,Persons,0,97
2001,SDN,JPN,Sudan,Japan,G,Government,V,,P,Persons,0,5
2001,SDN,JPN,Sudan,Japan,G,Government,V,,P,Persons,0,5
2001,SDN,KEN,Sudan,Kenya,U,UNHCR,V,,P,Persons,0,282
2001,SDN,LBN,Sudan,Lebanon,U,UNHCR,V,,P,Persons,0,588
2001,SDN,MDA,Sudan,Republic of Moldova,U,UNHCR,V,,P,Persons,0,31
2001,SDN,MEX,Sudan,Mexico,U,UNHCR,V,,P,Persons,0,5
2001,SDN,MOZ,Sudan,Mozambique,G,Government,V,,P,Persons,0,9
2001,SDN,MLT,Sudan,Malta,G,Government,V,,C,Cases,0,49
2001,SDN,NLD,Sudan,Netherlands (Kingdom of the),G,Government,V,,P,Persons,0,869
