Year,Country of Origin Code,Country of Asylum Code,Country of Origin Name,Country of Asylum Name,Procedure Type,Procedure Name,Decision Type Code,Decision Data Type,Decision Data,Decisions Average Persons Per Case,Recognized,Complementary Protection,Otherwise Closed,Rejected,Total Decided
#date+year,#country+code+origin,#country+code+asylum,#country+name+origin,#country+name+asylum,#indicator+procedure_type,#indicator+procedure+name,#indicator+decision_type+code,#indicator+decision_data_type,#indicator+decision_data,#indicator+decision_average_persons+num,#inneed+asylum_seekers+recognized,#inneed+asylum_seekers+recognized_other,#inneed+asylum_seekers+otherwise_closed,#inneed+asylum_seekers+rejected,#inneed+asylum_seekers+total_decided
2000,SDN,DZA,Sudan,Algeria,U,UNHCR,FI,C,Cases,0,0,0,0,5,5
2000,SDN,EGY,Sudan,Egypt,U,UNHCR,FI,P,Persons,0,2742,14,0,4395,7151
2000,SDN,AUS,Sudan,Australia,G,Government,AR,C,Cases,0,5,0,0,5,10
2000,SDN,AUS,Sudan,Australia,G,Government,FI,C,Cases,0,0,0,0,10,10
2000,SDN,AUT,Sudan,Austria,G,Government,FA,P,Persons,0,5,0,29,54,88
2000,SDN,BEL,Sudan,Belgium,G,Government,AR,P,Persons,0,0,0,0,5,5
2000,SDN,BEL,Sudan,Belgium,G,Government,FI,P,Persons,0,0,0,0,5,5
2000,SDN,BEN,Sudan,Benin,G,Government,FI,P,Persons,0,11,0,0,12,23
2000,SDN,BWA,Sudan,Botswana,G,Government,FI,P,Persons,0,5,0,0,5,10
2000,SDN,BRA,Sudan,Brazil,G,Government,FI,P,Persons,0,10,0,0,0,10
2000,SDN,BGR,Sudan,Bulgaria,G,Government,FI,P,Persons,0,0,0,5,0,5
2000,SDN,CAN,Sudan,Canada,G,Government,FI,P,Persons,0,227,0,16,39,282
2000,SDN,TCD,Sudan,Chad,U,UNHCR,FI,P,Persons,0,49,0,0,68,117
2000,SDN,COG,Sudan,Congo,U,UNHCR,FI,C,Cases,0,0,0,10,5,15
2000,SDN,CYP,Sudan,Cyprus,U,UNHCR,FI,P,Persons,0,0,0,0,5,5
2000,SDN,CZE,Sudan,Czechia,G,Government,FI,C,Cases,0,0,0,18,5,25
2000,SDN,DNK,Sudan,Denmark,G,Government,FI,P,Persons,0,5,18,0,0,23
2000,SDN,ERI,Sudan,Eritrea,U,UNHCR,FI,P,Persons,0,0,211,0,0,211
2000,SDN,FIN,Sudan,Finland,G,Government,FI,P,Persons,0,0,0,0,5,5
2000,SDN,FRA,Sudan,France,G,Government,FI,P,Persons,0,16,0,0,33,49
2000,SDN,GBR,Sudan,United Kingdom of Great Britain and Northern Ireland,G,Government,BL,C,Cases,0,0,300,20,0,320
2000,SDN,GBR,Sudan,United Kingdom of Great Britain and Northern Ireland,G,Government,FI,C,Cases,0,110,70,130,270,580
2000,SDN,DEU,Sudan,Germany,G,Government,NA,P,Persons,0,5,5,10,136,156
2000,SDN,DEU,Sudan,Germany,G,Government,RA,P,Persons,0,5,0,40,5,50
2000,SDN,GHA,Sudan,Ghana,G,Government,FI,P,Persons,0,5,0,0,0,5
2000,SDN,GRC,Sudan,Greece,G,Government,FI,P,Persons,0,5,5,0,27,37
2000,SDN,HUN,Sudan,Hungary,G,Government,FI,P,Persons,0,5,5,24,37,71
2000,SDN,IND,Sudan,India,U,UNHCR,FI,P,Persons,0,23,0,0,44,67
2000,SDN,IRL,Sudan,Ireland,G,Government,FI,P,Persons,0,5,0,0,24,29
2000,SDN,ITA,Sudan,Italy,G,Government,FA,P,Persons,0,31,0,0,25,56
2000,SDN,JOR,Sudan,Jordan,U,UNHCR,FI,P,Persons,0,10,0,120,151,281
2000,SDN,JPN,Sudan,Japan,G,Government,FI,P,Persons,0,0,0,0,14,14
2000,SDN,KEN,Sudan,Kenya,U,UNHCR,FI,P,Persons,0,39,0,11,19,69
2000,SDN,LBR,Sudan,Liberia,G,Government,FI,P,Persons,0,5,0,0,0,5
2000,SDN,LBN,Sudan,Lebanon,U,UNHCR,FI,P,Persons,0,247,0,70,1173,1490
2000,SDN,MDA,Sudan,Republic of Moldova,U,UNHCR,FI,P,Persons,0,0,0,47,11,58
2000,SDN,MEX,Sudan,Mexico,U,UNHCR,FI,P,Persons,0,5,0,0,0,5
2000,SDN,MAR,Sudan,Morocco,U,UNHCR,FI,C,Cases,0,0,0,0,5,5
2000,SDN,MLT,Sudan,Malta,G,Government,FI,C,Cases,0,0,0,0,5,5
